PO_Number,Date,Vendor_Code,Vendor_Name,Category,Region,Contract_Type,Contract_Value,On_Time_Delivery_Pct,Quality_Score,Safety_Compliance_Pct,Response_Time_Hours,Defect_Rate_Pct,Cost_Variance_Pct
PO000001,2023-01-01,V1467,OceanFreight Services,Logistics & Transportation,Gulf Coast,Fixed Price,385960.49,87.6,9.0,97.8,9.1,1.07,-6.92
PO000002,2023-01-02,V1428,ProTech Safety,Safety & PPE,North Sea,Spot Purchase,113688.78,85.0,6.1,98.4,63.5,2.72,17.01
PO000003,2023-01-07,V1311,DeepCore Industries,Drilling Equipment,Asia Pacific,Spot Purchase,543394.56,89.6,8.9,89.2,46.1,3.42,-3.96
PO000004,2023-01-09,V1103,SafeGuard Supply Co,Safety & PPE,West Africa,Fixed Price,173076.33,81.7,9.7,99.0,12.4,1.18,16.79
PO000005,2023-01-11,V1112,PetroMaintenance Corp,Maintenance & Repair,Asia Pacific,Spot Purchase,146569.09,86.6,9.1,94.1,7.3,1.78,14.43
PO000006,2023-01-13,V1110,Equipment Care Plus,Maintenance & Repair,Asia Pacific,Framework Agreement,157781.71,76.2,6.5,88.6,12.9,1.06,-1.27
PO000007,2023-01-14,V1444,TransGlobal Logistics,Logistics & Transportation,Asia Pacific,Fixed Price,228290.02,97.5,9.6,95.5,26.5,2.32,19.35
PO000008,2023-01-17,V1196,PetroMax Equipment,Drilling Equipment,Middle East,Time & Material,1195430.14,83.5,6.4,84.0,15.9,1.33,10.78
PO000009,2023-01-22,V1112,PetroMaintenance Corp,Maintenance & Repair,Middle East,Fixed Price,89936.12,84.7,9.2,90.4,22.3,2.54,-1.27
PO000010,2023-01-22,V1110,Equipment Care Plus,Maintenance & Repair,West Africa,Framework Agreement,104615.85,69.1,,99.4,7.4,0.83,-5.87
PO000011,2023-01-22,V1451,DrillTech Solutions,Drilling Equipment,North Sea,Spot Purchase,898825.35,98.2,7.4,92.9,18.3,4.12,11.2
PO000012,2023-01-25,V1291,Advanced Fluids Ltd,Chemical Supplies,West Africa,Spot Purchase,324194.19,74.9,8.0,80.9,16.9,5.85,16.94
PO000013,2023-01-29,V1291,Advanced Fluids Ltd,Chemical Supplies,Gulf Coast,Spot Purchase,308348.9,82.2,6.9,98.7,14.8,6.64,11.36
